id,emotion,usage
1,0,Training
2,0,Training
3,2,Training
4,4,Training
5,6,Training
6,2,Training
7,4,Training
8,3,Training
9,3,Training
10,2,Training
11,0,Training
12,6,Training
13,6,Training
14,6,Training
15,3,Training
16,5,Training
17,3,Training
18,2,Training
19,6,Training
20,4,Training
21,4,Training
22,2,Training
23,0,Training
24,0,Training
25,3,Training
26,3,Training
27,5,Training
28,0,Training
29,3,Training
30,5,Training
31,3,Training
32,6,Training
33,3,Training
34,2,Training
35,3,Training
36,6,Training
37,6,Training
38,6,Training
39,0,Training
40,5,Training
41,0,Training
42,3,Training
43,4,Training
44,0,Training
45,6,Training
46,2,Training
47,3,Training
48,6,Training
49,2,Training
50,2,Training
51,2,Training
52,5,Training
53,5,Training
54,6,Training
55,4,Training
56,5,Training
57,0,Training
58,3,Training
59,4,Training
60,2,Training
61,6,Training
62,5,Training
63,3,Training
64,4,Training
65,3,Training
66,0,Training
67,4,Training
68,3,Training
69,0,Training
70,5,Training
71,4,Training
72,2,Training
73,4,Training
74,2,Training
75,0,Training
76,6,Training
77,0,Training
78,0,Training
79,5,Training
80,4,Training
81,3,Training
82,5,Training
83,3,Training
84,6,Training
85,2,Training
86,2,Training
87,4,Training
88,4,Training
89,5,Training
90,4,Training
91,0,Training
92,0,Training
93,6,Training
94,0,Training
95,6,Training
96,2,Training
97,2,Training
98,3,Training
99,4,Training
100,3,Training
101,3,Training
102,2,Training
103,6,Training
104,3,Training
105,4,Training
106,3,Training
107,2,Training
108,0,Training
109,2,Training
110,3,Training
111,2,Training
112,3,Training
113,6,Training
114,6,Training
115,3,Training
116,4,Training
117,4,Training
118,0,Training
119,3,Training
120,3,Training
121,0,Training
122,2,Training
123,0,Training
124,0,Training
125,3,Training
126,3,Training
127,0,Training
128,4,Training
129,5,Training
130,2,Training
131,4,Training
132,2,Training
133,5,Training
134,3,Training
135,0,Training
136,6,Training
137,6,Training
138,2,Training
139,2,Training
140,3,Training
141,2,Training
142,3,Training
143,3,Training
144,3,Training
145,3,Training
146,3,Training
147,4,Training
148,2,Training
149,2,Training
150,0,Training
151,0,Training
152,2,Training
153,6,Training
154,3,Training
155,4,Training
156,5,Training
157,3,Training
158,0,Training
159,2,Training
160,4,Training
161,5,Training
162,2,Training
163,3,Training
164,4,Training
165,6,Training
166,3,Training
167,4,Training
168,3,Training
169,6,Training
170,0,Training
171,4,Training
172,4,Training
173,4,Training
174,2,Training
175,6,Training
176,5,Training
177,5,Training
178,6,Training
179,5,Training
